ds,yhat,yhat_lower,yhat_upper,RegionName
2011-11-30,115631.79334994817,114403.94975994577,116910.60304807703,Alabama
2011-12-31,115474.42782453021,114224.9749368534,116712.69260322515,Alabama
2012-01-31,115447.44953705328,114124.94138695188,116560.13478823799,Alabama
2012-02-29,115578.19889116284,114245.16849222923,116751.0601184669,Alabama
2012-03-31,115468.14297044124,114183.03488431257,116686.21950274338,Alabama
2012-04-30,115566.3925140456,114311.46106299243,116840.68215144023,Alabama
2012-05-31,115538.77586892362,114280.98085791258,116882.88316702715,Alabama
2012-06-30,115660.98213536791,114318.22314304124,116863.84714635638,Alabama
2012-07-31,115745.97389392964,114554.8532034308,116927.28098727512,Alabama
2012-08-31,115653.80989757489,114403.67168981604,116980.76931231543,Alabama
2012-09-30,115461.26482172983,114153.0151339101,116826.80560597597,Alabama
2012-10-31,115401.56142527361,114174.34221041546,116663.16644248544,Alabama
2012-11-30,115588.66022774337,114327.75601255619,116904.77643343288,Alabama
2012-12-31,115712.89094993046,114443.12335077843,117068.37251386086,Alabama
2013-01-31,115628.49322469824,114388.21675810745,116918.38078767854,Alabama
2013-02-28,115526.18032600412,114231.08678307105,116685.94361876135,Alabama
2013-03-31,115487.98966189222,114260.98041125933,116819.45543109615,Alabama
2013-04-30,115545.365657971,114407.80925448437,116804.00007837529,Alabama
2013-05-31,115493.93809495545,114216.74229545565,116743.01180651467,Alabama
2013-06-30,115536.1083365271,114283.14359699877,116792.50485384677,Alabama
2013-07-31,115578.7302771713,114299.99009467868,116858.11413772646,Alabama
2013-08-31,115735.51121851176,114523.50856755397,117035.8002600224,Alabama
2013-09-30,115869.13009575366,114622.62919488715,117142.17919404374,Alabama
2013-10-31,116054.9492085581,114818.22151034093,117252.687478034,Alabama
2013-11-30,116295.61687416083,115022.59552047923,117489.25817892916,Alabama
2013-12-31,116521.41414888955,115364.71262837153,117870.07706243629,Alabama
2014-01-31,116650.42155270767,115434.47699901555,117959.6327971919,Alabama
2014-02-28,116829.3381799635,115507.28377511534,118119.46697145357,Alabama
2014-03-31,117058.7657033472,115833.1140637416,118408.4170919558,Alabama
2014-04-30,117263.9533752929,116031.59624552046,118558.57775810764,Alabama
2014-05-31,117385.41096797866,116153.10512929967,118668.64845555561,Alabama
2014-06-30,117539.36099935845,116304.71520403004,118762.2721990262,Alabama
2014-07-31,117740.09186220521,116420.17335767705,118956.38354712127,Alabama
2014-08-31,117951.01350400221,116736.08434207359,119294.03338643216,Alabama
2014-09-30,118218.79149381537,116980.5436945366,119486.78007920976,Alabama
2014-10-31,118448.08165041264,117279.14992345491,119702.55969923432,Alabama
2014-11-30,118548.15861687955,117301.6400420492,119918.72232615024,Alabama
2014-12-31,118680.03839733715,117414.65302755515,119925.62357757977,Alabama
2015-01-31,118828.1858730204,117580.1051591088,120124.78248964057,Alabama
2015-02-28,119111.34306607913,117874.87821704026,120396.49313540744,Alabama
2015-03-31,119408.61953476719,118194.05105373786,120716.44212667347,Alabama
2015-04-30,119567.6724361692,118375.66384312749,120835.82828954532,Alabama
2015-05-31,119663.34940810547,118390.56794942853,120892.13477203001,Alabama
2015-06-30,119738.34940188147,118410.78811630639,121004.89396025037,Alabama
2015-07-31,119902.28854593175,118723.9290702173,121115.04935147101,Alabama
2015-08-31,120170.16961409648,118879.42728740063,121485.68904557465,Alabama
2015-09-30,120571.2365859679,119290.55286663942,121859.93674720367,Alabama
2015-10-31,120839.61150954154,119672.95725011404,122124.22794956363,Alabama
2015-11-30,120796.46841052633,119562.97321336811,122102.26107104564,Alabama
2015-12-31,120836.80583978254,119549.06575338227,122052.45431330484,Alabama
2016-01-31,121007.53050698158,119749.66336328155,122297.27203223087,Alabama
2016-02-29,121323.22778643221,119915.75231093072,122522.43717669953,Alabama
2016-03-31,121410.88582763987,119991.93062375237,122645.2234677807,Alabama
